x1;x2;x3;x4;x5;x6;x7;x8;x9;y
290;1,87;300;54,7;21,1;72;9,2;9,5;18,7;15,35
230;1,87;420;54,7;21,1;72;9,2;9,5;18,7;15,35
140;1,86;120;19,3;14,59;56;6,8;6,2;13;11,82
75;1,86;120;26,4;15,15;60;8,9;4,7;13,6;12,44
320;1,86;120;42;19,17;70,5;16,8;6,2;23;20,6
210;1,86;240;31,3;19,72;67;11,6;10,2;21,8;19,33
215;1,86;180;39,3;17,47;70;11,4;7,6;19;18,32
420;1,86;420;40,1;16,48;72;7,4;5,2;12,6;9,7
210;1,86;120;37,2;16,53;63,5;7,4;3,5;10,9;7,89
160;1,86;30;30,7;16,36;60;8,2;5,3;13,5;12,34
249;1,86;120;33,7;17,44;69,5;10,6;7,6;18,2;16,5
345;1,86;240;49,5;23,22;78,5;21,3;19,3;40,6;32,63
230;1,86;180;47,9;18,71;70;8,2;6,8;15;11,85
175;1,86;300;43,3;16,7;69;10,3;5,8;16,1;12,52
210;1,86;180;58;20,8;85;13,1;18,4;31,5;26,82
100;1,86;30;32;15,43;63,5;13,8;7,2;21;20,36
160;1,86;120;24,8;14,67;61;11,5;5,3;16,8;17,29
160;1,86;120;24,8;14,02;57;11,9;5,8;17,7;18,14
150;1,86;240;29;16,39;63;11,3;6,5;17,8;16,13
205;1,86;120;30;17,22;65;11,3;8;19,3;19,59
270;1,86;120;24;15,86;56;9,5;4,5;14;14,55
175;1,86;300;25,5;15,56;58;11,3;5,5;16,8;16,89
110;1,86;120;31;15,82;60,8;6,5;7,8;6,5;5,87
145;1,86;0;26;14,27;58;8,3;4,5;12,8;12,91
0;1,86;300;26;16,38;62;13,8;9,4;23,2;22,86
0;1,86;120;65;23,03;76;12,3;10,8;23,1;20,98
310;1,86;60;41;16,42;72;12;6,5;18,5;17,47
150;1,86;300;50;18,82;74;6,5;5,5;12;8,77
305;1,86;240;33,2;15,16;60;12;6;18;17,71
0;1,86;300;30;16,71;67;12;10,6;22,6;19,68
180;1,86;120;37,1;18,93;70;19,8;19;38,8;29,61
350;1,86;180;55,5;24,34;80;12,6;15;27,6;22,72
260;1,86;120;39;16,88;67;7,5;6;13,5;13,34
370;1,86;120;48,8;21,4;78,5;23;11,5;34,5;27,59
330;1,86;480;37,3;16,36;63;6,8;5;11,8;11,56
135;1,86;210;56;21,08;79;22,8;15,2;38;30,17
405;1,86;120;26,6;15,04;58;11,5;5,7;17,2;15,57
135;1,86;180;37,4;18,04;70;26,7;10,6;37,3;31,26
0;1,86;300;32;16,56;68;11,2;6,8;18;18,01
125;1,86;480;25,3;14,09;57;6,8;4;10,8;8,48
275;1,86;120;44;20,36;77;14,2;10;24,2;22,64
140;1,86;180;25;16,8;59,5;11,5;6,6;18,1;18,8
290;1,86;360;24;15,86;60;7,5;5,3;12,8;11,61
0;1,86;60;25;14,79;56;11,5;6,2;17,7;18,44
0;1,86;180;33,5;18,38;70;25;21,3;46,3;32,08
